season,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
4,10,9,0,2,1,2,0.6,0.5909,0.69,0
4,10,23,0,4,1,2,0.58,0.5455,0.88,0.194
3,7,18,0,2,1,1,0.84,0.7424,0.39,0.3881
2,6,19,0,0,0,1,0.82,0.7121,0.28,0.2836
4,9,18,0,0,0,1,0.52,0.5,0.59,0.4478
1,12,9,0,3,1,3,0.2,0.1818,0.86,0.3284
3,8,5,0,1,1,1,0.62,0.5606,0.88,0
4,10,20,0,3,1,2,0.4,0.4091,0.5,0.194
1,2,16,0,3,1,1,0.46,0.4545,0.31,0.3881
1,1,4,0,3,1,1,0.2,0.2121,0.8,0.1343
1,2,20,0,1,1,1,0.36,0.3182,0.46,0.4627
4,10,4,0,3,1,2,0.3,0.2879,0.87,0.194
2,4,15,0,5,1,1,0.34,0.303,0.46,0.4179
3,9,14,0,0,0,3,0.72,0.697,0.79,0.0896
1,2,5,0,3,1,1,0.06,0.1061,0.45,0.1045
1,2,17,0,4,1,1,0.2,0.197,0.4,0.194
4,11,0,0,5,1,1,0.26,0.2576,0.48,0.1642
3,7,6,1,1,0,1,0.64,0.5758,0.89,0.1642
4,10,10,0,5,1,1,0.46,0.4545,0.51,0.1642
1,2,11,0,6,0,1,0.3,0.3333,0.7,0
4,12,23,0,0,0,1,0.2,0.2273,0.75,0.1045
2,5,21,0,0,0,1,0.68,0.6364,0.83,0.1642
4,11,2,0,6,0,1,0.24,0.2576,0.65,0.0896
1,1,12,1,1,0,2,0.18,0.197,0.47,0.1343
3,7,8,0,3,1,1,0.8,0.7424,0.49,0.2537
1,3,14,0,2,1,1,0.64,0.6212,0.53,0.3284
1,1,8,0,4,1,2,0.2,0.2576,0.75,0
3,9,13,0,1,1,1,0.64,0.6212,0.38,0.2239
4,11,8,0,1,1,2,0.42,0.4242,0.94,0
3,8,3,0,4,1,3,0.66,0.5909,0.94,0.0896
2,5,6,0,1,1,1,0.46,0.4545,0.88,0.1045
2,5,0,0,2,1,1,0.7,0.6667,0.79,0.0896
1,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537
4,11,21,0,1,1,2,0.38,0.3939,0.54,0.2239
2,4,8,0,2,1,1,0.34,0.3182,0.61,0.2537
1,12,21,0,6,0,2,0.28,0.2424,0.56,0.4925
2,5,17,0,1,1,1,0.66,0.6212,0.65,0.194
1,2,16,0,1,1,1,0.52,0.5,0.27,0.4627
4,11,21,0,3,1,2,0.32,0.303,0.49,0.2985
4,12,20,0,3,1,3,0.34,0.2879,0.87,0.6418
4,11,23,0,2,1,2,0.46,0.4545,0.94,0.1045
3,6,17,0,2,1,1,0.78,0.7576,0.66,0.2239
3,7,22,0,6,0,1,0.84,0.8333,0.59,0.194
4,10,7,0,5,1,3,0.56,0.5303,0.88,0.194
3,7,6,0,5,1,2,0.7,0.6515,0.54,0
2,5,18,0,2,1,1,0.7,0.6515,0.54,0.1343
1,1,12,0,5,1,2,0.5,0.4848,0.88,0.1642
1,2,10,0,4,1,1,0.22,0.2121,0.51,0.2239
1,3,20,0,5,1,2,0.36,0.3485,0.87,0.194
2,5,4,0,4,1,1,0.34,0.3182,0.66,0.2537
2,5,18,0,5,1,3,0.52,0.5,0.88,0.1642
2,6,9,0,4,1,2,0.62,0.6061,0.65,0.194
1,2,2,0,0,0,1,0.24,0.2121,0.44,0.3284
4,10,7,0,6,0,1,0.4,0.4091,0.82,0
3,8,4,0,5,1,1,0.62,0.6212,0.53,0.1343
2,5,21,0,0,0,1,0.56,0.5303,0.73,0.194
3,8,14,0,0,0,3,0.7,0.6667,0.79,0.3881
4,12,1,0,5,1,1,0.5,0.4848,0.72,0.2239
2,5,7,0,4,1,1,0.6,0.5606,0.83,0.1045
2,6,10,0,5,1,1,0.66,0.6212,0.47,0.2537
2,3,6,0,3,1,1,0.36,0.3333,0.46,0.3582
4,12,21,0,0,0,1,0.36,0.3636,0.81,0.1045
3,8,21,0,2,1,1,0.74,0.6818,0.62,0.2239
2,6,13,0,4,1,1,0.9,0.8182,0.37,0.0896
3,7,21,0,1,1,2,0.74,0.6818,0.55,0.0896
2,6,15,0,0,0,1,0.7,0.6364,0.34,0
4,10,1,0,1,1,2,0.58,0.5455,0.64,0.3881
2,5,6,0,4,1,2,0.46,0.4545,0.88,0.1642
2,6,6,0,5,1,1,0.56,0.5303,0.94,0
2,4,8,0,4,1,1,0.36,0.3485,0.76,0.194
3,9,19,0,4,1,1,0.58,0.5455,0.6,0.2239
4,11,15,0,6,0,1,0.3,0.2727,0.36,0.4627
3,8,4,0,0,0,1,0.64,0.6061,0.69,0.0896
3,8,16,0,0,0,1,0.8,0.7121,0.36,0.3881
3,6,19,0,0,0,1,0.8,0.7121,0.38,0.2985
2,5,21,0,5,1,1,0.56,0.5303,0.64,0.1045
4,10,23,0,5,1,3,0.3,0.2727,0.81,0.3284
3,7,16,0,4,1,1,0.76,0.6667,0.33,0.1343
1,1,15,0,4,1,1,0.28,0.2727,0.36,0
2,5,11,0,5,1,2,0.74,0.6818,0.55,0.3284
3,7,7,0,0,0,2,0.64,0.5758,0.89,0.194
4,12,9,0,4,1,2,0.36,0.3333,0.62,0.2836
1,1,11,0,2,1,2,0.34,0.3485,0.87,0.1045
2,4,9,0,6,0,1,0.44,0.4394,0.51,0.3582
2,5,5,0,4,1,1,0.42,0.4242,0.94,0.1343
4,10,9,0,4,1,1,0.4,0.4091,0.43,0.3881
4,12,13,0,4,1,1,0.4,0.4091,0.4,0.2239
2,4,9,0,3,1,2,0.38,0.3939,0.94,0.2239
2,3,8,0,6,0,1,0.22,0.2273,0.44,0.1343
4,11,0,0,3,1,2,0.46,0.4545,0.94,0
4,10,21,0,4,1,1,0.44,0.4394,0.51,0.2985
4,11,9,0,5,1,1,0.28,0.2879,0.75,0.1045
3,7,10,0,1,1,2,0.78,0.7424,0.62,0
4,12,20,0,1,1,1,0.46,0.4545,0.88,0.2537
4,11,13,0,0,0,2,0.52,0.5,0.29,0.4179
4,10,4,0,6,0,2,0.5,0.4848,0.88,0.1642
3,9,17,0,3,1,1,0.76,0.7273,0.66,0.2537
2,4,18,0,3,1,3,0.66,0.6061,0.83,0.3881
2,6,2,0,0,0,1,0.52,0.5,0.59,0.1045
3,7,13,0,3,1,3,0.82,0.7576,0.46,0.1343
3,7,17,0,5,1,1,0.86,0.7879,0.41,0.2836
2,4,11,0,2,1,2,0.54,0.5152,0.68,0.1642
4,11,1,0,1,1,1,0.2,0.2576,0.69,0
3,8,1,0,3,1,1,0.64,0.6061,0.73,0.1642
1,2,15,0,6,0,2,0.3,0.2727,0.61,0.2985
1,3,19,0,6,0,2,0.46,0.4545,0.67,0.3284
1,2,8,0,0,0,1,0.2,0.2273,0.51,0.1045
1,2,0,0,5,1,1,0.44,0.4394,0.72,0.2836
3,8,7,0,2,1,1,0.56,0.5303,0.68,0.1343
1,2,13,0,5,1,2,0.3,0.3182,0.42,0.0896
2,3,2,0,5,1,1,0.2,0.197,0.69,0.2239
4,10,3,0,4,1,2,0.52,0.5,0.88,0.1343
3,8,20,0,2,1,1,0.64,0.6061,0.73,0
3,9,19,0,6,0,1,0.7,0.6515,0.58,0.1343
4,11,2,0,2,1,1,0.56,0.5303,0.64,0.2537
4,12,5,0,1,1,1,0.3,0.3182,0.87,0.1045
1,3,9,0,0,0,1,0.3,0.303,0.52,0.1343
1,2,14,0,0,0,1,0.36,0.3485,0.27,0.1642
3,7,18,1,3,0,1,0.9,0.8485,0.42,0.194
3,8,2,0,6,0,1,0.7,0.6667,0.84,0.194
2,4,14,0,0,0,1,0.5,0.4848,0.72,0.194
3,8,9,0,2,1,1,0.68,0.6364,0.61,0.2836
3,6,16,0,5,1,1,0.8,0.697,0.33,0.4179
3,8,22,0,2,1,1,0.7,0.6515,0.54,0
4,10,8,0,1,1,1,0.44,0.4394,0.67,0
1,2,9,0,5,1,2,0.26,0.303,1,0
2,4,1,0,5,1,1,0.36,0.3333,0.53,0.2537
2,5,10,0,2,1,1,0.62,0.5909,0.78,0.2537
4,11,14,0,3,1,1,0.36,0.3333,0.4,0.2985
